date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
10/7/2014,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
10/7/2014,new_noncase,,,,,,,,,,,,,,,
10/7/2014,new_suspected,,,,,,,,,,,,,,,
10/7/2014,new_probable,,,,,,,,,,,,,,,
10/7/2014,new_confirmed,0,0,0,0,0,14,0,2,0,5,1,0,,,40
10/7/2014,cum_noncase,,,,,,,,,,,,,,,
10/7/2014,cum_suspected,,,,,,,,,,,,,,,294
10/7/2014,cum_probable,,,,,,,,,,,,,,,37
10/7/2014,cum_confirmed,532,431,25,21,0,308,100,348,24,117,68,1,,,2504
10/7/2014,death_suspected,,,,,,,,,,,,,,,35
10/7/2014,death_probable,,,,,,,,,,,,,,,142
10/7/2014,death_confirmed,,,,,,,,,,,,,,,703
10/7/2014,cfr,,,,,,,,,,,,,,,
10/7/2014,etc_new_admission,,,,,,,,,,,,,,,
10/7/2014,etc_currently_admitted,,,,,,,,,,,,,,,
10/7/2014,etc_cum_admission,,,,,,,,,,,,,,,
10/7/2014,etc_new_deaths,,,,,,,,,,,,,,,
10/7/2014,etc_cum_deaths,,,,,,,,,,,,,,,
10/7/2014,etc_new_discharges,,,,,,,,,,,,,,,
10/7/2014,etc_cum_discharges,,,,,,,,,,,,,,,533
10/7/2014,cum_contacts,,,,,,,,,,,,,,,
10/7/2014,cum_completed_contacts,,,,,,,,,,,,,,,
10/7/2014,contacts_followed,,,,,,,,,,,,,,,
10/7/2014,new_contacts,,,,,,,,,,,,,,,
10/7/2014,contacts_healthy,,,,,,,,,,,,,,,
10/7/2014,contacts_ill,,,,,,,,,,,,,,,
10/7/2014,contacts_not_seen,,,,,,,,,,,,,,,
10/7/2014,new_completed_contacts,,,,,,,,,,,,,,,
10/7/2014,percent_seen,,,,,,,,,,,,,,,
